iter	Passed	Remaining
822	2024	435
823	2026	432
824	2028	430
825	2031	427
826	2033	425
827	2035	422
828	2038	420
829	2040	417
830	2043	415
831	2045	413
832	2047	410
833	2050	408
834	2052	405
835	2054	403
836	2057	400
837	2059	398
838	2061	395
839	2064	393
840	2066	390
841	2069	388
842	2071	385
843	2074	383
844	2076	380
845	2078	378
846	2081	375
847	2083	373
848	2086	371
849	2088	368
850	2091	366
851	2093	363
852	2095	361
853	2098	358
854	2100	356
855	2103	353
856	2105	351
857	2108	348
858	2110	346
859	2112	343
860	2115	341
861	2117	339
862	2120	336
863	2122	334
864	2125	331
865	2127	329
866	2129	326
867	2132	324
868	2134	321
869	2136	319
870	2139	316
871	2141	314
872	2144	311
873	2146	309
874	2148	306
875	2151	304
876	2153	302
877	2156	299
878	2158	297
879	2160	294
880	2163	292
881	2166	289
882	2168	287
883	2170	284
884	2173	282
885	2175	279
886	2178	277
887	2180	275
888	2182	272
889	2185	270
890	2187	267
891	2190	265
892	2192	262
893	2195	260
894	2197	257
895	2199	255
896	2202	252
897	2204	250
898	2206	247
899	2209	245
900	2211	243
901	2214	240
902	2216	238
903	2218	235
904	2221	233
905	2223	230
906	2225	228
907	2228	225
908	2230	223
909	2233	220
910	2235	218
911	2238	215
912	2240	213
913	2242	211
914	2245	208
915	2247	206
916	2249	203
917	2252	201
918	2254	198
919	2257	196
920	2259	193
921	2262	191
922	2264	188
923	2266	186
924	2269	183
925	2271	181
926	2273	179
927	2276	176
928	2278	174
929	2281	171
930	2283	169
931	2286	166
932	2288	164
933	2291	161
934	2293	159
935	2295	156
936	2298	154
937	2300	152
938	2303	149
939	2305	147
940	2308	144
941	2310	142
942	2312	139
943	2315	137
944	2317	134
945	2320	132
946	2322	129
947	2324	127
948	2327	125
949	2329	122
950	2331	120
951	2334	117
952	2336	115
953	2338	112
954	2341	110
955	2344	107
956	2346	105
957	2349	102
958	2351	100
959	2353	98
960	2356	95
961	2358	93
962	2360	90
963	2363	88
964	2366	85
965	2368	83
966	2371	80
967	2373	78
968	2375	76
969	2378	73
970	2380	71
971	2383	68
972	2385	66
973	2388	63
974	2390	61
975	2392	58
976	2395	56
977	2397	53
978	2400	51
979	2402	49
980	2404	46
981	2407	44
982	2409	41
983	2411	39
984	2414	36
985	2416	34
986	2418	31
987	2421	29
988	2424	26
989	2426	24
990	2428	22
991	2431	19
992	2433	17
993	2436	14
994	2438	12
995	2441	9
996	2443	7
997	2445	4
998	2448	2
999	2450	0
